model_name,prompt_method,total_samples,schema_hallucinations,hallucination_rate
llama-3.3-70b,zero-shot,1000,254,25.4
llama3.2:3b,zero-shot,1000,198,19.8
llama-3.3-70b,content-aware,1000,169,16.900000000000002
llama3.2:3b,content-aware,1000,106,10.6
llama-3.3-70b,embedding-retrieval,1000,86,8.6
llama3.2:3b,schema-linking,1000,86,8.6
llama3.2:3b,embedding-content-aware,1000,67,6.7
qwen2.5-coder:7b,schema-linking,1000,53,5.3
gemma4:e4b,schema-linking,1000,51,5.1
llama-3.3-70b,schema-linking,1000,46,4.6
llama-3.3-70b,embedding-content-aware,1000,40,4.0
llama3.2:3b,embedding-retrieval,1000,38,3.8
deepseek-coder:6.7b,schema-linking,1000,38,3.8
qwen2.5-coder:7b,embedding-retrieval,1000,34,3.4000000000000004
deepseek-coder:6.7b,zero-shot,1000,28,2.8000000000000003
qwen2.5-coder:7b,zero-shot,1000,27,2.7
gemma4:e4b,embedding-retrieval,1000,25,2.5
deepseek-coder:6.7b,content-aware,1000,23,2.3
qwen2.5-coder:7b,embedding-content-aware,1000,22,2.1999999999999997
deepseek-coder:6.7b,embedding-retrieval,1000,21,2.1
deepseek-coder:6.7b,embedding-content-aware,1000,19,1.9
gemma4:e4b,zero-shot,1000,19,1.9
qwen2.5-coder:7b,content-aware,1000,14,1.4000000000000001
gemma4:e4b,embedding-content-aware,1000,14,1.4000000000000001
gpt-oss-120b,content-aware,1000,13,1.3
gemma4:e4b,content-aware,1000,10,1.0
gpt-oss-120b,embedding-retrieval,1000,9,0.8999999999999999
gpt-oss-120b,schema-linking,1000,8,0.8
gpt-oss-120b,embedding-content-aware,1000,7,0.7000000000000001
gpt-oss-120b,zero-shot,1000,7,0.7000000000000001
