question_id,question,gold_table,top1_predicted,all_retrieved_top10,hit@1,hit@5,hit@10,mrr,initial_rank,final_rank,error_category,emb_latency_ms,rerank_latency_ms,total_latency_ms,reranker_used
2b6359edb1b352c3,"Who created the series in which the character of Robert , played by actor Nonso Anozie , appeared ?",Nonso_Anozie_1,Nonso_Anozie_1,"['Nonso_Anozie_1', 'Robert_Bathurst_filmography_2', 'The_Thorn_Birds_(TV_miniseries)_0', 'Robbie_Daymond_1', 'Daren_Kagasoff_0', 'Doug_TenNapel_0', 'Anupam_Bhattacharya_0', 'Tom_Baker_0', 'Linus_Roache_0', 'Saffire_(video_game_developer)_0']",1,1,1,1.0,1,1,SUCCESS,17.078399658203125,0.0,17.078399658203125,False
1bd5ee91518dc589,What did the 2nd championship win at the Sevens Grand Prix Series for the team with the most top 4 finishes qualify them for ?,Sevens_Grand_prix_series_0,Sevens_Grand_prix_series_0,"['Sevens_Grand_prix_series_0', 'IRB_Sevens_World_Series_6', 'IRB_Sevens_World_Series_0', 'United_States_national_rugby_union_team_(sevens)_12', 'Pro_12_2', 'Pro_12_1', '2012_RFL_Championship_0', '1999_Hungarian_Grand_Prix_0', 'Top_14_4', 'Top_14_2']",1,1,1,1.0,1,1,SUCCESS,13.955354690551758,0.0,13.955354690551758,False
b2fa6dea5e272acc,This 70 's Kishore Kumar song was in a film produced by Alankar Chitra and directed by Shanker Mukherjee ?,Kishore_Kumar_1,Kishore_Kumar_1,"['Kishore_Kumar_1', 'Masoom_(1983_film)_0', 'Waheed_Murad_filmography_6', 'Waheed_Murad_filmography_3', 'Sharreth_0', 'Suresh_Krissna_0', 'Anjana_Productions_0', 'Vidya_Sinha_0', 'Ashutosh_Gowariker_2', 'Usha_Uthup_0']",1,1,1,1.0,1,1,SUCCESS,11.984109878540039,0.0,11.984109878540039,False
24ae33636128ba03,What is the full birth name of the Bradford A.F.C player that only played for the team in 2011 ?,Bradford_City_A.F.C._0,Bradford_City_A.F.C._0,"['Bradford_City_A.F.C._0', 'List_of_Bradford_City_A.F.C._players_0', 'List_of_Bradford_City_A.F.C._players_1', '2011_Bradford_Bulls_season_1', 'List_of_Bolton_Wanderers_F.C._records_and_statistics_2', 'Barry_Town_F.C._0', '2011_Premier_League_Darts_0', '2017–18_Oxford_United_F.C._season_2', 'Wigan_Warriors_0', 'List_of_Scarborough_F.C._players_0']",1,1,1,1.0,1,1,SUCCESS,9.890079498291016,0.0,9.890079498291016,False
25019a7623f4ad5e,How many academic staff are at the university in Budapest that has the official abbreviation BME ?,Budapest_0,Budapest_0,"['Budapest_0', 'Sapienza_University_of_Rome_0', 'Big_Ten_Conference_10', 'Budapest_Ferenc_Liszt_International_Airport_4', 'Big_Ten_Conference_28', 'Big_Ten_Conference_14', 'Big_Ten_Conference_9', 'List_of_Boise_State_University_people_1', 'List_of_Boise_State_University_people_4', 'List_of_Boise_State_University_people_3']",1,1,1,1.0,1,1,SUCCESS,10.219812393188477,0.0,10.219812393188477,False
a1d6704c2b0c48bc,The 1995 Tooheys 1000 driver who was second-to-last in the Tooheys Top 10 was born where ?,1995_Tooheys_1000_0,1995_Tooheys_1000_0,"['1995_Tooheys_1000_0', '1999_European_Grand_Prix_0', '2000_Canadian_Grand_Prix_0', 'List_of_Formula_One_drivers_1', '1999_British_Grand_Prix_0', '2000_Brazilian_Grand_Prix_0', ""Ronnie_O'Sullivan_2"", '2002_Formula_Renault_2000_Eurocup_1', '2006_NASCAR_Nextel_Cup_Series_4', '2000_German_Grand_Prix_0']",1,1,1,1.0,1,1,SUCCESS,9.744405746459961,0.0,9.744405746459961,False
d76b0d98f72a7526,What is the capacity of the home grounds of the club a player transfered from Arsenal FC to FC Dordecht ?,2015–16_Arsenal_F.C._season_2,2015–16_Arsenal_F.C._season_2,"['2015–16_Arsenal_F.C._season_2', 'Bundesliga_1', 'Esbjerg_Stadium_0', '2008–09_UEFA_Cup_18', '2008–09_UEFA_Cup_21', 'Football_in_Berlin_0', 'Zlatan_Muslimović_0', 'List_of_English_football_transfers_summer_2006_0', 'Kardinia_Park_(stadium)_0', 'Hadi_Aghily_2']",1,1,1,1.0,1,1,SUCCESS,12.870550155639648,0.0,12.870550155639648,False
b5cfc92181b6511b,What is the full name of the person who is a NYU prize winner alumnus associated with ARTS ?,List_of_New_York_University_alumni_22,List_of_New_York_University_faculty_and_staff_8,"['List_of_New_York_University_faculty_and_staff_8', 'List_of_New_York_University_faculty_and_staff_3', 'List_of_New_York_University_faculty_and_staff_7', 'List_of_New_York_University_faculty_and_staff_1', 'List_of_New_York_University_alumni_25', 'List_of_New_York_University_alumni_22', 'List_of_New_York_University_alumni_14', 'List_of_New_York_University_alumni_9', 'List_of_New_York_University_alumni_3', 'List_of_New_York_University_alumni_1']",0,0,1,0.16666666666666666,6,6,SUCCESS,11.990070343017578,0.0,11.990070343017578,False
f9575f412a27c3dd,What position does 2009–10 season Vancouver Canucks player Rob Davison currently hold with the Toronto Marlies ?,2009–10_Vancouver_Canucks_season_14,2009–10_Vancouver_Canucks_season_14,"['2009–10_Vancouver_Canucks_season_14', 'Vancouver_Whitecaps_FC_Residency_3', '2010_BC_Lions_season_0', '2010_Toronto_Argonauts_season_0', '2013_BC_Lions_season_0', '2011_Vancouver_Whitecaps_FC_season_1', 'FC_Edmonton_0', '2009_Catalans_Dragons_season_0', 'Canadian_Championship_5', 'San_Jose_Earthquakes_1']",1,1,1,1.0,1,1,SUCCESS,10.630130767822266,0.0,10.630130767822266,False
0190463339d6f441,What is the best known song sung by the couple celebrity paired with Jonathan Roberts during the season 5 of Dancing with the Stars in america ?,Dancing_with_the_Stars_(U.S._season_5)_0,American_Idol_(season_5)_6,"['American_Idol_(season_5)_6', 'Dancing_with_the_Stars_(U.S._season_5)_0', 'Dancing_with_the_Stars_(U.S._season_14)_2', 'Dancing_with_the_Stars_(American_season_6)_6', 'Dancing_with_the_Stars_(U.S._season_17)_6', 'Dancing_with_the_Stars_(American_season_17)_6', 'Dancing_with_the_Stars_(U.S._season_11)_2', 'Dancing_with_the_Stars_(U.S._season_13)_2', 'Dancing_with_the_Stars_(U.S._season_2)_4', 'Dancing_with_the_Stars_(U.S._season_5)_3']",0,1,1,0.5,2,2,SUCCESS,11.972188949584961,0.0,11.972188949584961,False
