question_id,model_name,prompt_method,question,table_name,columns,prompt,generated_sql,predicted_answer,gold_answer,execution_success,correct,latency_seconds
nt-2,gemma4:e4b,zero-shot,which team won previous to crettyard?,table_204_772,"['Team', 'County', 'Wins', 'Years_won']","You are an expert Text-to-SQL assistant.

                    Your task is to generate a syntactically correct SQLite SQL query based ONLY on the provided schema and question.

                    Rules:
                    - Return ONLY the SQL query.
                    - Do NOT include explanations, markdown, comments, or extra text.
                    - Use ONLY tables and columns present in the schema.
                    - Do NOT invent column names or table names.
                    - If the question cannot be answered using the schema, return exactly:
                    CANNOT_ANSWER
                    - Generate valid SQLite syntax only.
                    - Prefer explicit column names instead of SELECT *.
                    - Use table aliases when helpful.
                    - If aggregation is needed, use proper GROUP BY clauses.
                    - If filtering text, use LIKE for partial matches when appropriate.
                    - Handle NULL values safely when relevant.
                    - Use LIMIT when the question asks for top/best/highest/lowest results.
                    - For date comparisons, use SQLite-compatible date functions only.
                

            Database schema:

            Table: table_204_772

            Columns:
            Team, County, Wins, Years_won

            User question:
            which team won previous to crettyard?

            SQL:",CANNOT_ANSWER,,Wolfe Tones,True,False,89.14714455604553
nt-3,gemma4:e4b,zero-shot,how many more passengers flew to los angeles than to saskatoon from manzanillo airport in 2013?,table_203_515,"['Rank', 'City', 'Passengers', 'Ranking', 'Airline']","You are an expert Text-to-SQL assistant.

                    Your task is to generate a syntactically correct SQLite SQL query based ONLY on the provided schema and question.

                    Rules:
                    - Return ONLY the SQL query.
                    - Do NOT include explanations, markdown, comments, or extra text.
                    - Use ONLY tables and columns present in the schema.
                    - Do NOT invent column names or table names.
                    - If the question cannot be answered using the schema, return exactly:
                    CANNOT_ANSWER
                    - Generate valid SQLite syntax only.
                    - Prefer explicit column names instead of SELECT *.
                    - Use table aliases when helpful.
                    - If aggregation is needed, use proper GROUP BY clauses.
                    - If filtering text, use LIKE for partial matches when appropriate.
                    - Handle NULL values safely when relevant.
                    - Use LIMIT when the question asks for top/best/highest/lowest results.
                    - For date comparisons, use SQLite-compatible date functions only.
                

            Database schema:

            Table: table_203_515

            Columns:
            Rank, City, Passengers, Ranking, Airline

            User question:
            how many more passengers flew to los angeles than to saskatoon from manzanillo airport in 2013?

            SQL:",CANNOT_ANSWER,,"12,467",True,False,29.50693392753601
nt-8,gemma4:e4b,zero-shot,"after winning on four credits with a full house, what is your payout?",table_203_564,"['Hand', '1_credit', '2_credits', '3_credits', '4_credits', '5_credits']","You are an expert Text-to-SQL assistant.

                    Your task is to generate a syntactically correct SQLite SQL query based ONLY on the provided schema and question.

                    Rules:
                    - Return ONLY the SQL query.
                    - Do NOT include explanations, markdown, comments, or extra text.
                    - Use ONLY tables and columns present in the schema.
                    - Do NOT invent column names or table names.
                    - If the question cannot be answered using the schema, return exactly:
                    CANNOT_ANSWER
                    - Generate valid SQLite syntax only.
                    - Prefer explicit column names instead of SELECT *.
                    - Use table aliases when helpful.
                    - If aggregation is needed, use proper GROUP BY clauses.
                    - If filtering text, use LIKE for partial matches when appropriate.
                    - Handle NULL values safely when relevant.
                    - Use LIMIT when the question asks for top/best/highest/lowest results.
                    - For date comparisons, use SQLite-compatible date functions only.
                

            Database schema:

            Table: table_203_564

            Columns:
            Hand, 1_credit, 2_credits, 3_credits, 4_credits, 5_credits

            User question:
            after winning on four credits with a full house, what is your payout?

            SQL:",SELECT 4_credits FROM table_203_564 WHERE Hand = 'full house',,32,True,False,55.914305210113525
nt-9,gemma4:e4b,zero-shot,which players played the same position as ardo kreek?,table_203_116,"['No.', 'Player', 'Birth_Date', 'Weight', 'Height', 'Position', 'Current_Club']","You are an expert Text-to-SQL assistant.

                    Your task is to generate a syntactically correct SQLite SQL query based ONLY on the provided schema and question.

                    Rules:
                    - Return ONLY the SQL query.
                    - Do NOT include explanations, markdown, comments, or extra text.
                    - Use ONLY tables and columns present in the schema.
                    - Do NOT invent column names or table names.
                    - If the question cannot be answered using the schema, return exactly:
                    CANNOT_ANSWER
                    - Generate valid SQLite syntax only.
                    - Prefer explicit column names instead of SELECT *.
                    - Use table aliases when helpful.
                    - If aggregation is needed, use proper GROUP BY clauses.
                    - If filtering text, use LIKE for partial matches when appropriate.
                    - Handle NULL values safely when relevant.
                    - Use LIMIT when the question asks for top/best/highest/lowest results.
                    - For date comparisons, use SQLite-compatible date functions only.
                

            Database schema:

            Table: table_203_116

            Columns:
            No., Player, Birth_Date, Weight, Height, Position, Current_Club

            User question:
            which players played the same position as ardo kreek?

            SQL:",SELECT Player FROM table_203_116 WHERE Position = (SELECT Position FROM table_203_116 WHERE Player = 'ardo kreek'),,Siim Ennemuist|Andri Aganits,True,False,29.384724617004395
nt-14,gemma4:e4b,zero-shot,which athlete was from south korea after the year 2010?,table_203_104,"['Athlete', 'Nation', 'Olympics', 'Gold', 'Silver', 'Bronze', 'Total']","You are an expert Text-to-SQL assistant.

                    Your task is to generate a syntactically correct SQLite SQL query based ONLY on the provided schema and question.

                    Rules:
                    - Return ONLY the SQL query.
                    - Do NOT include explanations, markdown, comments, or extra text.
                    - Use ONLY tables and columns present in the schema.
                    - Do NOT invent column names or table names.
                    - If the question cannot be answered using the schema, return exactly:
                    CANNOT_ANSWER
                    - Generate valid SQLite syntax only.
                    - Prefer explicit column names instead of SELECT *.
                    - Use table aliases when helpful.
                    - If aggregation is needed, use proper GROUP BY clauses.
                    - If filtering text, use LIKE for partial matches when appropriate.
                    - Handle NULL values safely when relevant.
                    - Use LIMIT when the question asks for top/best/highest/lowest results.
                    - For date comparisons, use SQLite-compatible date functions only.
                

            Database schema:

            Table: table_203_104

            Columns:
            Athlete, Nation, Olympics, Gold, Silver, Bronze, Total

            User question:
            which athlete was from south korea after the year 2010?

            SQL:",SELECT Athlete FROM table_203_104 WHERE Nation = 'South Korea' AND CAST(Olympics AS INTEGER) > 2010,,Kim Yu-na,True,False,80.48657011985779
nt-15,gemma4:e4b,zero-shot,what was the venue when he placed first?,table_204_706,"['Year', 'Competition', 'Venue', 'Position', 'Notes']","You are an expert Text-to-SQL assistant.

                    Your task is to generate a syntactically correct SQLite SQL query based ONLY on the provided schema and question.

                    Rules:
                    - Return ONLY the SQL query.
                    - Do NOT include explanations, markdown, comments, or extra text.
                    - Use ONLY tables and columns present in the schema.
                    - Do NOT invent column names or table names.
                    - If the question cannot be answered using the schema, return exactly:
                    CANNOT_ANSWER
                    - Generate valid SQLite syntax only.
                    - Prefer explicit column names instead of SELECT *.
                    - Use table aliases when helpful.
                    - If aggregation is needed, use proper GROUP BY clauses.
                    - If filtering text, use LIKE for partial matches when appropriate.
                    - Handle NULL values safely when relevant.
                    - Use LIMIT when the question asks for top/best/highest/lowest results.
                    - For date comparisons, use SQLite-compatible date functions only.
                

            Database schema:

            Table: table_204_706

            Columns:
            Year, Competition, Venue, Position, Notes

            User question:
            what was the venue when he placed first?

            SQL:",SELECT Venue FROM table_204_706 WHERE Position = 1,,"New Delhi, India",True,False,32.081958055496216
nt-24,gemma4:e4b,zero-shot,who ranked right after turkey?,table_203_812,"['Rank', 'Nation', 'Gold', 'Silver', 'Bronze', 'Total']","You are an expert Text-to-SQL assistant.

                    Your task is to generate a syntactically correct SQLite SQL query based ONLY on the provided schema and question.

                    Rules:
                    - Return ONLY the SQL query.
                    - Do NOT include explanations, markdown, comments, or extra text.
                    - Use ONLY tables and columns present in the schema.
                    - Do NOT invent column names or table names.
                    - If the question cannot be answered using the schema, return exactly:
                    CANNOT_ANSWER
                    - Generate valid SQLite syntax only.
                    - Prefer explicit column names instead of SELECT *.
                    - Use table aliases when helpful.
                    - If aggregation is needed, use proper GROUP BY clauses.
                    - If filtering text, use LIKE for partial matches when appropriate.
                    - Handle NULL values safely when relevant.
                    - Use LIMIT when the question asks for top/best/highest/lowest results.
                    - For date comparisons, use SQLite-compatible date functions only.
                

            Database schema:

            Table: table_203_812

            Columns:
            Rank, Nation, Gold, Silver, Bronze, Total

            User question:
            who ranked right after turkey?

            SQL:",SELECT T2.Nation FROM table_203_812 AS T1 JOIN table_203_812 AS T2 ON T2.Rank = T1.Rank + 1 WHERE T1.Nation = 'Turkey',Sweden,Sweden,True,True,36.790873765945435
nt-29,gemma4:e4b,zero-shot,what is the total population in dzhebariki-khaya?,table_204_6,"['Urban_settlements', 'Population', 'Male', 'Female', 'Inhabited_localities_in_jurisdiction']","You are an expert Text-to-SQL assistant.

                    Your task is to generate a syntactically correct SQLite SQL query based ONLY on the provided schema and question.

                    Rules:
                    - Return ONLY the SQL query.
                    - Do NOT include explanations, markdown, comments, or extra text.
                    - Use ONLY tables and columns present in the schema.
                    - Do NOT invent column names or table names.
                    - If the question cannot be answered using the schema, return exactly:
                    CANNOT_ANSWER
                    - Generate valid SQLite syntax only.
                    - Prefer explicit column names instead of SELECT *.
                    - Use table aliases when helpful.
                    - If aggregation is needed, use proper GROUP BY clauses.
                    - If filtering text, use LIKE for partial matches when appropriate.
                    - Handle NULL values safely when relevant.
                    - Use LIMIT when the question asks for top/best/highest/lowest results.
                    - For date comparisons, use SQLite-compatible date functions only.
                

            Database schema:

            Table: table_204_6

            Columns:
            Urban_settlements, Population, Male, Female, Inhabited_localities_in_jurisdiction

            User question:
            what is the total population in dzhebariki-khaya?

            SQL:",SELECT Population FROM table_204_6 WHERE Urban_settlements = 'dzhebariki-khaya',,1694,True,False,3.315781831741333
nt-34,gemma4:e4b,zero-shot,who was the top ranked competitor in this race?,table_204_552,"['Rank', 'Cyclist', 'Team', 'Laps\ndown', 'Notes']","You are an expert Text-to-SQL assistant.

                    Your task is to generate a syntactically correct SQLite SQL query based ONLY on the provided schema and question.

                    Rules:
                    - Return ONLY the SQL query.
                    - Do NOT include explanations, markdown, comments, or extra text.
                    - Use ONLY tables and columns present in the schema.
                    - Do NOT invent column names or table names.
                    - If the question cannot be answered using the schema, return exactly:
                    CANNOT_ANSWER
                    - Generate valid SQLite syntax only.
                    - Prefer explicit column names instead of SELECT *.
                    - Use table aliases when helpful.
                    - If aggregation is needed, use proper GROUP BY clauses.
                    - If filtering text, use LIKE for partial matches when appropriate.
                    - Handle NULL values safely when relevant.
                    - Use LIMIT when the question asks for top/best/highest/lowest results.
                    - For date comparisons, use SQLite-compatible date functions only.
                

            Database schema:

            Table: table_204_552

            Columns:
            Rank, Cyclist, Team, Laps
down, Notes

            User question:
            who was the top ranked competitor in this race?

            SQL:",SELECT Cyclist FROM table_204_552 ORDER BY Rank LIMIT 1;,Iryna Shpylova,Iryna Shpylova,True,True,2.6233396530151367
nt-40,gemma4:e4b,zero-shot,what was the number of silver medals won by ukraine?,table_203_175,"['Rank', 'Nation', 'Gold', 'Silver', 'Bronze', 'Total']","You are an expert Text-to-SQL assistant.

                    Your task is to generate a syntactically correct SQLite SQL query based ONLY on the provided schema and question.

                    Rules:
                    - Return ONLY the SQL query.
                    - Do NOT include explanations, markdown, comments, or extra text.
                    - Use ONLY tables and columns present in the schema.
                    - Do NOT invent column names or table names.
                    - If the question cannot be answered using the schema, return exactly:
                    CANNOT_ANSWER
                    - Generate valid SQLite syntax only.
                    - Prefer explicit column names instead of SELECT *.
                    - Use table aliases when helpful.
                    - If aggregation is needed, use proper GROUP BY clauses.
                    - If filtering text, use LIKE for partial matches when appropriate.
                    - Handle NULL values safely when relevant.
                    - Use LIMIT when the question asks for top/best/highest/lowest results.
                    - For date comparisons, use SQLite-compatible date functions only.
                

            Database schema:

            Table: table_203_175

            Columns:
            Rank, Nation, Gold, Silver, Bronze, Total

            User question:
            what was the number of silver medals won by ukraine?

            SQL:",SELECT Silver FROM table_203_175 WHERE Nation = 'Ukraine';,,2,True,False,2.4661738872528076
